Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-25 00:00:00+07:00,2076.2076241629466,2111.5473284040177,2067.3726981026784,2102.71240234375,60726800,0.0,0.0
2021-08-26 00:00:00+07:00,2067.3727681565183,2093.8775472354478,2058.537841796875,2058.537841796875,55050200,0.0,0.0
2021-08-27 00:00:00+07:00,2058.5378070699758,2076.2076594911773,2040.8679546487745,2049.702880859375,35765000,0.0,0.0
2021-08-30 00:00:00+07:00,2067.3726981026784,2102.71240234375,2058.537772042411,2102.71240234375,65062000,0.0,0.0
2021-08-31 00:00:00+07:00,2120.382220158812,2155.721923828125,2102.712368324155,2155.721923828125,135700400,0.0,0.0
2021-09-01 00:00:00+07:00,2155.7217814127603,2155.7217814127603,2120.382080078125,2120.382080078125,70082000,0.0,0.0
2021-09-02 00:00:00+07:00,2138.052001953125,2155.721853208936,2111.547225069409,2138.052001953125,51554400,0.0,0.0
2021-09-03 00:00:00+07:00,2155.7219587053573,2173.3918108258927,2120.382254464286,2164.556884765625,50760000,0.0,0.0
2021-09-06 00:00:00+07:00,2191.0615234375,2235.236150926159,2164.5567469443045,2191.0615234375,51684400,0.0,0.0
2021-09-07 00:00:00+07:00,2208.731201171875,2244.070900390625,2199.8962763671875,2208.731201171875,70448400,0.0,0.0
2021-09-08 00:00:00+07:00,2226.40105078125,2226.40105078125,2164.5565771484376,2208.731201171875,84660600,0.0,0.0
2021-09-09 00:00:00+07:00,2226.4014363927167,2244.0712890625,2164.5569520484746,2244.0712890625,93331600,0.0,0.0
2021-09-10 00:00:00+07:00,2217.5662999306955,2226.4012254284276,2182.226597939768,2191.0615234375,107576800,0.0,0.0
2021-09-13 00:00:00+07:00,2155.7217511432927,2199.896377191311,2138.0519007240855,2173.3916015625,104806600,0.0,0.0
2021-09-14 00:00:00+07:00,2173.391775662782,2191.0616274974386,2146.8869979107967,2155.721923828125,84931400,0.0,0.0
2021-09-15 00:00:00+07:00,2182.226736886161,2191.0616629464284,2155.7219587053573,2164.556884765625,135497800,0.0,0.0
2021-09-16 00:00:00+07:00,2182.2265267721036,2191.0614519817073,2164.5566763528964,2173.3916015625,61344200,0.0,0.0
2021-09-17 00:00:00+07:00,2164.5567788368417,2173.391704464747,2138.052001953125,2138.052001953125,82452800,0.0,0.0
2021-09-20 00:00:00+07:00,2129.21728515625,2146.8871381450986,2093.877579178553,2129.21728515625,57569200,0.0,0.0
2021-09-21 00:00:00+07:00,2129.216969510003,2129.216969510003,2093.8772687712476,2111.547119140625,45153400,0.0,0.0
2021-09-22 00:00:00+07:00,2111.5474999196244,2155.7221338091563,2102.712573141718,2146.88720703125,26711200,0.0,0.0
2021-09-23 00:00:00+07:00,2164.5570605870626,2164.5570605870626,2129.217353475437,2146.88720703125,40606000,0.0,0.0
2021-09-24 00:00:00+07:00,2146.8868198793803,2155.721745064069,2093.8772687712476,2111.547119140625,50278400,0.0,0.0
2021-09-27 00:00:00+07:00,2120.382183527542,2129.2171092922404,2085.04248046875,2085.04248046875,68500800,0.0,0.0
2021-09-28 00:00:00+07:00,2102.71240234375,2129.2171805245534,2085.042550223214,2102.71240234375,64652200,0.0,0.0
2021-09-29 00:00:00+07:00,2102.712229410807,2138.0519307454424,2093.8773040771484,2120.382080078125,56467400,0.0,0.0
2021-09-30 00:00:00+07:00,2138.0519007240855,2173.3916015625,2120.3820503048782,2173.3916015625,82812000,0.0,0.0
2021-10-01 00:00:00+07:00,2173.391775662782,2191.0616274974386,2138.0520719934684,2155.721923828125,74975400,0.0,0.0
2021-10-04 00:00:00+07:00,2182.2265040570705,2297.08053058639,2173.3915789394305,2288.24560546875,156691600,0.0,0.0
2021-10-05 00:00:00+07:00,2279.4110986138135,2314.7508055690664,2252.9063183973735,2270.576171875,94886200,0.0,0.0
2021-10-06 00:00:00+07:00,2288.2460206927676,2358.9254344593396,2279.4110939719462,2332.420654296875,168775800,0.0,0.0
2021-10-07 00:00:00+07:00,2350.0904012651586,2411.934885508979,2341.255474944613,2367.76025390625,253196600,0.0,0.0
2021-10-08 00:00:00+07:00,2376.594974241395,2464.9442297894025,2376.594974241395,2438.439453125,223592000,0.0,0.0
2021-10-11 00:00:00+07:00,2438.439453125,2447.274378679801,2403.0997509057975,2438.439453125,123020200,0.0,0.0
2021-10-12 00:00:00+07:00,2464.944127546038,2491.448903111049,2447.274277169364,2473.779052734375,191044200,0.0,0.0
2021-10-13 00:00:00+07:00,2500.2839707925286,2509.118896484375,2456.1093423332964,2509.118896484375,134998000,0.0,0.0
2021-10-14 00:00:00+07:00,2517.953927176339,2535.623779296875,2491.449148995536,2535.623779296875,104307800,0.0,0.0
2021-10-15 00:00:00+07:00,2535.6237442976944,2544.458670236014,2500.2840405444167,2526.788818359375,84353000,0.0,0.0
2021-10-18 00:00:00+07:00,2544.458705357143,2588.6333356584823,2526.7888532366073,2535.623779296875,152951600,0.0,0.0
2021-10-19 00:00:00+07:00,2562.1285925971138,2562.1285925971138,2491.449183146159,2544.458740234375,99358000,0.0,0.0
2021-10-21 00:00:00+07:00,2535.623779296875,2588.6333356584823,2517.953927176339,2535.623779296875,189264000,0.0,0.0
2021-10-22 00:00:00+07:00,2509.119035508898,2553.2936664157446,2500.2841093275283,2544.458740234375,65782600,0.0,0.0
2021-10-25 00:00:00+07:00,2535.6234631990133,2562.128238075658,2517.95361328125,2517.95361328125,76296200,0.0,0.0
2021-10-26 00:00:00+07:00,2509.1190011160716,2544.458705357143,2509.1190011160716,2535.623779296875,55872800,0.0,0.0
2021-10-27 00:00:00+07:00,2544.458670236014,2553.2935961743337,2517.9538924210556,2526.788818359375,82925200,0.0,0.0
2021-10-28 00:00:00+07:00,2517.953714934108,2526.7886402496665,2473.7790883563166,2482.614013671875,99023600,0.0,0.0
2021-10-29 00:00:00+07:00,2535.623779296875,2579.798409598214,2526.7888532366073,2535.623779296875,160952400,0.0,0.0
2021-11-01 00:00:00+07:00,2562.1285574776784,2562.1285574776784,2526.7888532366073,2535.623779296875,65621400,0.0,0.0
2021-11-02 00:00:00+07:00,2535.623565565225,2544.458490880783,2473.7790883563166,2482.614013671875,51923400,0.0,0.0
2021-11-03 00:00:00+07:00,2464.9440635279607,2562.128238075658,2447.2742136101974,2517.95361328125,107556600,0.0,0.0
2021-11-04 00:00:00+07:00,2562.1285574776784,2579.798409598214,2535.623779296875,2535.623779296875,103726400,0.0,0.0
2021-11-05 00:00:00+07:00,2562.128450635453,2562.128450635453,2473.779193716989,2509.118896484375,48035600,0.0,0.0
2021-11-08 00:00:00+07:00,2544.458454241071,2544.458454241071,2473.779052734375,2473.779052734375,50517400,0.0,0.0
2021-11-09 00:00:00+07:00,2491.4492205255683,2509.1190731534093,2420.7698100142047,2429.604736328125,120574200,0.0,0.0
2021-11-10 00:00:00+07:00,2429.604633037861,2526.788818359375,2429.604633037861,2526.788818359375,156118000,0.0,0.0
2021-11-11 00:00:00+07:00,2517.95423672686,2553.2939453125,2482.6145281412196,2553.2939453125,86362400,0.0,0.0
2021-11-12 00:00:00+07:00,2570.9633763272996,2570.9633763272996,2491.4490451006823,2509.118896484375,56807000,0.0,0.0
2021-11-15 00:00:00+07:00,2509.119071365248,2526.7889239804963,2491.44921875,2491.44921875,40131000,0.0,0.0
2021-11-16 00:00:00+07:00,2491.44945528763,2553.2939453125,2482.6145281412196,2553.2939453125,76140200,0.0,0.0
2021-11-17 00:00:00+07:00,2553.2939453125,2562.12887245891,2526.78916387327,2553.2939453125,72789600,0.0,0.0
2021-11-18 00:00:00+07:00,2544.458705357143,2553.293631417411,2526.7888532366073,2535.623779296875,30911600,0.0,0.0
2021-11-19 00:00:00+07:00,2535.6236412311423,2579.798269127155,2526.7887156519396,2562.12841796875,101125800,0.0,0.0
2021-11-22 00:00:00+07:00,2597.46826171875,2650.4778180803573,2553.293631417411,2597.46826171875,92374400,0.0,0.0
2021-11-23 00:00:00+07:00,2553.2935961743337,2570.9634480509726,2509.118966482736,2526.788818359375,63127600,0.0,0.0
2021-11-24 00:00:00+07:00,2517.9538924210556,2535.6237442976944,2509.118966482736,2526.788818359375,56217000,0.0,0.0
2021-11-25 00:00:00+07:00,2553.293631417411,2606.303187779018,2535.623779296875,2597.46826171875,97473400,0.0,0.0
2021-11-26 00:00:00+07:00,2588.6332277109923,2588.6332277109923,2500.2839707925286,2509.118896484375,78633400,0.0,0.0
2021-11-29 00:00:00+07:00,2509.1190011160716,2570.9634835379466,2447.2745186941966,2535.623779296875,112673000,0.0,0.0
2021-11-30 00:00:00+07:00,2562.1283046177455,2562.1283046177455,2456.1092023577007,2473.779052734375,219340400,0.0,0.0
2021-12-01 00:00:00+07:00,2473.7791588449645,2517.9537866814817,2456.109307710358,2500.283935546875,93119800,0.0,0.0
2021-12-02 00:00:00+07:00,2500.2841093275283,2562.1285925971138,2473.7793307834204,2544.458740234375,70416400,0.0,0.0
2021-12-03 00:00:00+07:00,2544.458670236014,2553.2935961743337,2509.118966482736,2526.788818359375,46109400,0.0,0.0
2021-12-06 00:00:00+07:00,2526.7888532366073,2562.1285574776784,2509.1190011160716,2535.623779296875,52050400,0.0,0.0
2021-12-07 00:00:00+07:00,2535.6237107368365,2579.79833984375,2535.6237107368365,2579.79833984375,64289400,0.0,0.0
2021-12-08 00:00:00+07:00,2570.9634480509726,2579.798373989292,2526.788818359375,2526.788818359375,56064200,0.0,0.0
2021-12-09 00:00:00+07:00,2562.1285574776784,2597.46826171875,2517.953927176339,2597.46826171875,42688600,0.0,0.0
2021-12-10 00:00:00+07:00,2544.458740234375,2553.2936664157446,2509.119035508898,2544.458740234375,93532200,0.0,0.0
2021-12-13 00:00:00+07:00,2544.4583881578947,2553.2933131167765,2517.95361328125,2517.95361328125,50091200,0.0,0.0
2021-12-14 00:00:00+07:00,2517.953927176339,2544.458705357143,2509.1190011160716,2535.623779296875,65061400,0.0,0.0
2021-12-15 00:00:00+07:00,2526.788990348475,2588.633476126235,2517.954063808795,2570.963623046875,75677400,0.0,0.0
2021-12-16 00:00:00+07:00,2579.798269127155,2588.6331947063577,2544.458566810345,2562.12841796875,69082400,0.0,0.0
2021-12-17 00:00:00+07:00,2553.2935961743337,2553.2935961743337,2500.2840405444167,2526.788818359375,83945200,0.0,0.0
2021-12-20 00:00:00+07:00,2509.1188611141783,2526.788712248785,2500.283935546875,2500.283935546875,57932600,0.0,0.0
2021-12-21 00:00:00+07:00,2526.788818359375,2562.128522112653,2509.118966482736,2526.788818359375,49859600,0.0,0.0
2021-12-22 00:00:00+07:00,2535.6238502881206,2544.458776595745,2491.44921875,2491.44921875,34814400,0.0,0.0
2021-12-23 00:00:00+07:00,2491.4490099795717,2526.788712248785,2491.4490099795717,2500.283935546875,44565000,0.0,0.0
2021-12-24 00:00:00+07:00,2509.119071365248,2526.7889239804963,2456.1095135195037,2491.44921875,54902200,0.0,0.0
2021-12-27 00:00:00+07:00,2491.448903111049,2509.118753487723,2464.944127546038,2473.779052734375,34096400,0.0,0.0
2021-12-28 00:00:00+07:00,2491.44921875,2491.44921875,2464.9444398271276,2491.44921875,39835400,0.0,0.0
2021-12-29 00:00:00+07:00,2500.2839707925286,2517.9538221762214,2473.779193716989,2509.118896484375,20860200,0.0,0.0
2021-12-30 00:00:00+07:00,2509.1187896185497,2517.953714934108,2482.614013671875,2482.614013671875,34951600,0.0,0.0
2022-01-03 00:00:00+07:00,2509.119071365248,2517.9539976728724,2482.6142924423757,2491.44921875,30999600,0.0,0.0
2022-01-04 00:00:00+07:00,2500.2840750558034,2544.458705357143,2491.449148995536,2535.623779296875,44541400,0.0,0.0
2022-01-05 00:00:00+07:00,2526.7886402496665,2535.623565565225,2447.274312409642,2482.614013671875,98910200,0.0,0.0
2022-01-06 00:00:00+07:00,2500.283864302992,2500.283864302992,2456.1092377252003,2482.614013671875,65651200,0.0,0.0
2022-01-07 00:00:00+07:00,2482.6142924423757,2509.119071365248,2482.6142924423757,2491.44921875,68452800,0.0,0.0
2022-01-10 00:00:00+07:00,2500.2841450576243,2509.119071365248,2491.44921875,2491.44921875,44378600,0.0,0.0
2022-01-11 00:00:00+07:00,2509.119071365248,2509.119071365248,2473.779366134752,2491.44921875,50367600,0.0,0.0
2022-01-12 00:00:00+07:00,2491.4491146060973,2526.788818359375,2491.4491146060973,2526.788818359375,34249200,0.0,0.0
